n,insertion,shell_halving,shell_knuth,shell_sedgewick,builtin
32,1.6292004147544503e-05,4.829200042877346e-05,2.0207997295074165e-05,2.0749997929669917e-05,2.6669877115637064e-06
64,6.408299668692052e-05,4.40419971710071e-05,3.462500171735883e-05,3.5208999179303646e-05,3.459004801698029e-06
128,0.0002312500000698492,0.0001103750109905377,8.024999988265336e-05,8.008300210349262e-05,8.457995136268437e-06
256,0.0008744170045247301,0.00025337499391753227,0.0001745409972500056,0.00017620799189899117,1.4666991773992777e-05
512,0.0040410419896943495,0.0007186669972725213,0.0004374999989522621,0.0005152910016477108,3.13749915221706e-05
1024,0.017656625001109205,0.00182229200436268,0.0011672090040519834,0.0012139169994043186,9.76250012172386e-05
2048,0.07272024999838322,0.0053702079894719645,0.0026034170005004853,0.0030087920022197068,0.0001588750019436702
4096,0.30427320799208246,0.015490374993532896,0.0063843749958323315,0.006698166995192878,0.00034708299790509045
8192,1.2000253750011325,0.03365216701058671,0.014609999998356216,0.015123165998375043,0.0008349999989150092
16384,5.115037041992764,0.1100165840034606,0.041769624993321486,0.03841920799459331,0.0015719579969299957
32768,20.51164974999847,0.24837833299534395,0.08738287500455044,0.07438087499758694,0.003257917007431388
65536,86.73441083400394,0.5715530409943312,0.18590645799122285,0.16668283300532494,0.008005333002074622
131072,395.1051508340024,2.062058541996521,0.49105733299802523,0.3710625829990022,0.015954417001921684
